tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 00:42:34,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:43:40,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 00:45:53,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:46:59,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 00:50:17,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:51:23,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 00:55:48,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 00:56:54,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 01:07:55,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 01:09:01,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 01:12:19,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 01:13:25,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 01:15:37,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 01:18:57,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 01:21:09,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 01:26:39,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 01:27:46,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 01:28:52,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-28 01:34:23,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 01:35:29,September
97,21.9,0.0,1.0,22,21.5,22.5,2022-09-28 01:36:35,September
97,21.8,0.0,1.0,22,21.5,22.5,2022-09-28 01:45:25,September
97,21.8,0.0,0.0,22,21.5,22.5,2022-09-28 01:54:14,September
97,21.7,0.0,0.0,22,21.5,22.5,2022-09-28 01:55:20,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 02:08:33,September
97,21.8,0.0,0.0,22,21.5,22.5,2022-09-28 02:14:03,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 02:15:09,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 02:16:15,September
97,21.8,0.0,0.0,22,21.5,22.5,2022-09-28 02:17:21,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 02:18:27,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 02:20:39,September
97,21.8,1.0,0.0,22,21.5,22.5,2022-09-28 02:21:45,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 02:22:51,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 02:28:22,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 02:29:28,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 02:30:34,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-28 02:40:29,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 02:41:35,September
97,22.1,1.0,0.0,22,21.5,22.5,2022-09-28 02:42:41,September
97,22.2,1.0,0.0,22,21.5,22.5,2022-09-28 02:49:17,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 02:59:16,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-28 03:00:22,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 03:04:46,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-28 03:05:52,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 03:06:58,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 03:19:06,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 03:22:24,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 03:23:31,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 03:24:37,September
97,21.9,0.0,0.0,22,21.5,22.5,2022-09-28 03:29:01,September
97,22.3,0.0,0.0,22,21.5,22.5,2022-09-28 03:30:07,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 03:31:13,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 03:32:19,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 03:33:25,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 03:34:31,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 03:35:38,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 03:36:44,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 03:37:50,September
97,22.0,1.0,0.0,22,21.5,22.5,2022-09-28 03:38:56,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 03:41:08,September
97,21.9,1.0,0.0,22,21.5,22.5,2022-09-28 03:42:15,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 03:44:27,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 03:45:33,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 03:56:34,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 03:57:40,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 03:59:52,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 04:15:18,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 04:16:24,September
