"time","tank_id","t_is","h_valve","t_valve"
"2023-11-07 22:10:23+00",78,"21.9",NULL,"0"
"2023-11-07 22:12:35+00",78,"21.8",NULL,"0"
"2023-11-07 22:58:07+00",78,NULL,1,NULL
"2023-11-07 23:20:20+00",78,"21.9",NULL,"0"
"2023-11-07 23:21:27+00",78,"21.8",NULL,"0"
"2023-11-07 23:30:20+00",78,"21.9",NULL,"0"
"2023-11-07 23:31:26+00",78,"21.8",NULL,"0"
"2023-11-07 23:33:40+00",78,"21.9",NULL,"0"
"2023-11-07 23:34:46+00",78,"21.8",NULL,"0"
"2023-11-07 23:35:53+00",78,"21.9",NULL,"0"
"2023-11-07 23:55:53+00",78,"22",NULL,"0"
"2023-11-08 00:02:34+00",78,NULL,0,NULL
"2023-11-08 00:51:28+00",78,"21.9",NULL,"0"
"2023-11-08 00:52:34+00",78,"22",NULL,"0"
"2023-11-08 00:58:07+00",78,"21.9",NULL,"0"
"2023-11-08 01:53:37+00",78,"21.8",NULL,"0"
"2023-11-08 01:54:43+00",78,"21.9",NULL,"0"
"2023-11-08 02:00:17+00",78,"21.8",NULL,"0"
"2023-11-08 02:01:24+00",78,"21.9",NULL,"0"
"2023-11-08 02:02:31+00",78,"21.8",NULL,"0"
"2023-11-08 02:03:37+00",78,"21.9",NULL,"0"
"2023-11-08 02:06:57+00",78,"21.8",NULL,"0"
"2023-11-08 02:50:14+00",78,NULL,1,NULL
"2023-11-08 03:02:27+00",78,"21.9",NULL,"0"
"2023-11-08 03:03:34+00",78,"21.8",NULL,"0"
"2023-11-08 03:04:40+00",78,"21.9",NULL,"0"
"2023-11-08 03:18:00+00",78,"22",NULL,"0"
"2023-11-08 03:20:14+00",78,"21.9",NULL,"0"
"2023-11-08 03:21:20+00",78,"22",NULL,"0"
"2023-11-08 03:28:04+00",78,NULL,0,NULL
"2023-11-08 04:06:59+00",78,"21.9",NULL,"0"
"2023-11-08 04:08:06+00",78,"22",NULL,"0"
"2023-11-08 04:09:13+00",78,"21.9",NULL,"0"
"2023-11-08 04:10:19+00",78,"22",NULL,"0"
"2023-11-08 04:11:26+00",78,"21.9",NULL,"0"
"2023-11-08 04:12:33+00",78,"22",NULL,"0"
"2023-11-08 04:14:45+00",78,"21.9",NULL,"0"
