"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 03:36:59+00",96,"14.8",NULL,"0"
"2022-10-01 03:38:06+00",96,"14.9",NULL,"0"
"2022-10-01 03:39:12+00",96,"15",NULL,"0"
"2022-10-01 03:39:12+00",96,NULL,0,NULL
"2022-10-01 03:40:18+00",96,"15.1",NULL,"0"
"2022-10-01 03:41:27+00",96,"15.3",NULL,"1"
"2022-10-01 03:42:33+00",96,"15.4",NULL,"1"
"2022-10-01 03:43:39+00",96,"15.3",NULL,"1"
"2022-10-01 03:44:45+00",96,"15.1",NULL,"1"
"2022-10-01 03:45:51+00",96,"14.9",NULL,"0"
"2022-10-01 03:46:57+00",96,"14.8",NULL,"0"
"2022-10-01 03:48:03+00",96,"14.7",NULL,"0"
"2022-10-01 03:48:03+00",96,NULL,1,NULL
"2022-10-01 03:49:09+00",96,"14.8",NULL,"0"
"2022-10-01 03:51:21+00",96,"15",NULL,"0"
"2022-10-01 03:52:27+00",96,"15.1",NULL,"0"
"2022-10-01 03:52:27+00",96,NULL,0,NULL
"2022-10-01 03:53:33+00",96,"15.2",NULL,"0"
"2022-10-01 03:54:39+00",96,"15.3",NULL,"1"
"2022-10-01 03:56:51+00",96,"15.2",NULL,"1"
"2022-10-01 03:57:58+00",96,"15",NULL,"0"
"2022-10-01 03:59:04+00",96,NULL,1,NULL
"2022-10-01 03:59:04+00",96,"14.7",NULL,"0"
"2022-10-01 04:00:10+00",96,"14.6",NULL,"0"
"2022-10-01 04:01:17+00",96,"14.7",NULL,"0"
"2022-10-01 04:02:24+00",96,"14.9",NULL,"0"
"2022-10-01 04:04:36+00",96,NULL,0,NULL
"2022-10-01 04:04:36+00",96,"15.1",NULL,"0"
"2022-10-01 04:05:42+00",96,"15.2",NULL,"0"
"2022-10-01 04:06:48+00",96,"15.3",NULL,"1"
"2022-10-01 04:07:54+00",96,"15.4",NULL,"1"
"2022-10-01 04:09:00+00",96,"15.3",NULL,"1"
"2022-10-01 04:10:07+00",96,"15",NULL,"1"
"2022-10-01 04:11:13+00",96,"14.9",NULL,"0"
"2022-10-01 04:14:31+00",96,"15",NULL,"0"
"2022-10-01 04:15:37+00",96,"15.1",NULL,"0"
"2022-10-01 04:16:43+00",96,"15.2",NULL,"0"
"2022-10-01 04:17:49+00",96,"15.3",NULL,"1"
"2022-10-01 04:20:01+00",96,"15.2",NULL,"1"
"2022-10-01 04:21:08+00",96,"15.1",NULL,"1"
"2022-10-01 04:22:14+00",96,"14.9",NULL,"0"
"2022-10-01 04:23:20+00",96,"14.8",NULL,"0"
"2022-10-01 04:24:26+00",96,"14.9",NULL,"0"
"2022-10-01 04:25:32+00",96,"15",NULL,"0"
"2022-10-01 04:26:38+00",96,"15.1",NULL,"0"
"2022-10-01 04:27:44+00",96,"15.2",NULL,"0"
"2022-10-01 04:28:50+00",96,"15.3",NULL,"1"
"2022-10-01 04:31:02+00",96,"15.1",NULL,"1"
"2022-10-01 04:32:08+00",96,"15",NULL,"0"
"2022-10-01 04:33:15+00",96,"14.8",NULL,"0"
"2022-10-01 04:35:27+00",96,"14.9",NULL,"0"
"2022-10-01 04:36:33+00",96,"15",NULL,"0"
"2022-10-01 04:37:39+00",96,"15.1",NULL,"0"
"2022-10-01 04:38:45+00",96,"15.2",NULL,"0"
"2022-10-01 04:39:52+00",96,"15.3",NULL,"0"
"2022-10-01 04:40:58+00",96,"15.3",NULL,"1"
"2022-10-01 04:43:10+00",96,"15.1",NULL,"1"
"2022-10-01 04:44:16+00",96,"14.9",NULL,"0"
"2022-10-01 04:45:22+00",96,NULL,1,NULL
"2022-10-01 04:45:22+00",96,"14.7",NULL,"0"
"2022-10-01 04:47:35+00",96,"14.8",NULL,"0"
"2022-10-01 04:48:41+00",96,"14.9",NULL,"0"
"2022-10-01 04:49:47+00",96,"15",NULL,"0"
"2022-10-01 04:49:47+00",96,NULL,0,NULL
"2022-10-01 04:50:53+00",96,"15.1",NULL,"0"
"2022-10-01 04:51:59+00",96,"15.2",NULL,"0"
"2022-10-01 04:53:06+00",96,"15.3",NULL,"1"
"2022-10-01 04:55:18+00",96,"15.2",NULL,"1"
"2022-10-01 04:56:25+00",96,"14.9",NULL,"0"
"2022-10-01 04:57:31+00",96,"14.8",NULL,"0"
"2022-10-01 05:00:49+00",96,"15",NULL,"0"
"2022-10-01 05:01:55+00",96,"15.1",NULL,"0"
"2022-10-01 05:03:02+00",96,"15.2",NULL,"0"
"2022-10-01 05:04:08+00",96,"15.3",NULL,"1"
"2022-10-01 05:06:20+00",96,"15.2",NULL,"1"
"2022-10-01 05:07:26+00",96,"15",NULL,"0"
"2022-10-01 05:08:33+00",96,"14.8",NULL,"0"
"2022-10-01 05:09:39+00",96,"14.7",NULL,"0"
"2022-10-01 05:09:39+00",96,NULL,1,NULL
"2022-10-01 05:11:51+00",96,"14.9",NULL,"0"
"2022-10-01 05:12:57+00",96,"15",NULL,"0"
"2022-10-01 05:12:57+00",96,NULL,0,NULL
"2022-10-01 05:14:03+00",96,"15.1",NULL,"0"
"2022-10-01 05:15:09+00",96,"15.2",NULL,"0"
"2022-10-01 05:16:15+00",96,"15.3",NULL,"1"
"2022-10-01 05:18:27+00",96,"15.2",NULL,"1"
"2022-10-01 05:19:33+00",96,"14.9",NULL,"0"
"2022-10-01 05:20:39+00",96,"14.7",NULL,"0"
"2022-10-01 05:20:39+00",96,NULL,1,NULL
"2022-10-01 05:22:52+00",96,"14.8",NULL,"0"
"2022-10-01 05:25:04+00",96,"14.9",NULL,"0"
"2022-10-01 05:26:10+00",96,NULL,0,NULL
"2022-10-01 05:26:10+00",96,"15",NULL,"0"
"2022-10-01 05:27:16+00",96,"15.1",NULL,"0"
"2022-10-01 05:28:22+00",96,"15.2",NULL,"0"
"2022-10-01 05:29:28+00",96,"15.3",NULL,"1"
"2022-10-01 05:31:40+00",96,"15.1",NULL,"1"
"2022-10-01 05:32:46+00",96,"14.9",NULL,"0"
"2022-10-01 05:33:53+00",96,"14.7",NULL,"0"
"2022-10-01 05:33:53+00",96,NULL,1,NULL
